Gender,Marital Status,Occupation,Location,Customer Tenure,Customer Segment,Preferred Communication Channel,Credit Score,Credit History Length,Outstanding Loans,Balance,NumOfProducts,NumComplaints,Age,Exited
Female,Married,Teacher,Dowa,14,Corporate,Email,747,10,3973003,0.0,1,3,22,0
Male,Married,Engineer,Dowa,15,Corporate,Email,732,2,5280160,0.0,3,3,33,1
Female,Single,Engineer,Mzimba,9,Retail,Phone,349,13,55878,0.0,4,0,54,1
Male,Divorced,Engineer,Likoma,8,Retail,Email,602,10,4970577,0.0,3,0,33,0
Male,Married,Driver,Dedza,5,SME,Phone,398,3,4608178,145541.56,3,4,29,0
Female,Single,Businessperson,Mwanza,20,SME,Phone,682,19,1489391,0.0,1,2,23,1
Male,Married,Driver,Likoma,1,SME,Email,674,6,4857204,124601.58,4,5,44,1
Female,Single,Farmer,Mwanza,20,Retail,Email,339,1,7181845,115182.84,2,0,33,0
Male,Divorced,Businessperson,Nkhotakota,20,Corporate,Email,631,11,2108290,163789.49,3,5,37,0
Male,Divorced,Farmer,Kasungu,9,SME,Phone,495,6,2189836,65733.41,1,2,46,0
Male,Divorced,Banker,Dedza,6,SME,Email,778,20,7631946,0.0,2,5,47,0
Female,Married,Engineer,Rumphi,8,Retail,Email,447,17,2780879,128486.11,1,0,47,0
Female,Married,Farmer,Mchinji,2,Retail,Phone,381,9,872166,109663.47,3,4,53,0
Female,Married,Student,Karonga,4,Corporate,Phone,415,20,1300276,88324.31,4,0,42,0
Female,Married,Engineer,Mwanza,5,Retail,Email,844,16,7688358,146445.24,2,0,28,0
Female,Married,Student,Nkhotakota,19,SME,Email,595,8,5248592,0.0,3,3,38,0
Female,Married,Farmer,Chikwawa,4,Corporate,Phone,479,12,9961069,0.0,2,5,31,0
Male,Divorced,Businessperson,Mulanje,1,SME,Phone,686,11,2640436,109949.05,2,0,36,0
Male,Single,Businessperson,Nkhata Bay,9,Corporate,Phone,556,19,7566537,78653.05,4,0,30,0
Male,Single,Student,Chitipa,6,Retail,Email,462,12,767187,107850.82,3,5,46,1
Female,Single,Driver,Balaka,10,Corporate,Phone,340,13,6369812,83765.35,2,3,39,0
Female,Married,Farmer,Mwanza,1,Corporate,Email,657,10,3377996,143773.07,1,3,66,0
Male,Single,Businessperson,Ntcheu,6,Corporate,Phone,749,20,2050644,116227.27,3,2,63,0
Male,Divorced,Civil Servant,Zomba,8,Corporate,Phone,541,14,7705304,103471.52,2,0,33,0
Male,Single,Civil Servant,Chitipa,15,Retail,Phone,640,10,1810496,0.0,2,0,42,0
Male,Married,Banker,Ntcheu,18,SME,Email,702,5,1434199,137492.35,2,0,24,0
Male,Married,Banker,Rumphi,5,SME,Email,485,18,5064311,0.0,2,0,28,0
Male,Married,Businessperson,Nkhata Bay,18,SME,Phone,739,18,4587961,129829.59,2,5,36,0
Female,Divorced,Farmer,Nkhata Bay,19,Corporate,Phone,304,9,4171694,146329.57,3,1,21,0
Male,Divorced,Civil Servant,Nkhata Bay,16,Retail,Phone,703,1,2780194,114027.7,3,4,30,0
Male,Married,Teacher,Ntchisi,18,Corporate,Phone,704,11,9152864,146580.69,3,0,25,0
Female,Married,Driver,Thyolo,12,Corporate,Phone,452,16,5946740,132122.42,4,2,38,0
Female,Single,Engineer,Mzimba,15,SME,Email,518,18,9309978,81553.93,2,4,44,1
Female,Married,Teacher,Nkhata Bay,15,SME,Phone,406,18,8681878,0.0,3,1,66,0
Male,Single,Nurse,Salima,15,Corporate,Phone,514,16,5291899,0.0,1,4,24,0
Female,Divorced,Engineer,Neno,8,Corporate,Phone,398,11,165494,0.0,3,5,28,0
Female,Single,Student,Dedza,16,Corporate,Email,806,15,2330902,0.0,2,4,26,0
Male,Married,Farmer,Chikwawa,14,Corporate,Phone,614,15,7438840,175214.71,4,1,32,0
Female,Married,Banker,Mangochi,9,Retail,Phone,682,1,5128711,125534.51,1,3,40,1
Male,Single,Banker,Nsanje,1,SME,Phone,330,3,9419440,97705.99,4,3,68,0
Female,Single,Student,Chikwawa,11,SME,Email,370,11,3976343,126817.65,1,3,55,0
Female,Married,Farmer,Dowa,7,Retail,Email,365,9,6843863,46870.43,1,1,46,1
Male,Married,Businessperson,Phalombe,10,Retail,Email,587,19,5416949,0.0,3,0,46,0
Male,Divorced,Businessperson,Dowa,9,Retail,Phone,464,15,1544861,120094.93,3,1,42,0
Female,Divorced,Teacher,Salima,1,Retail,Phone,648,13,3276713,0.0,3,5,38,0
Female,Single,Student,Machinga,6,SME,Phone,674,5,836765,0.0,2,5,33,0
Female,Married,Nurse,Ntcheu,8,Corporate,Email,762,13,6268376,104356.94,1,1,36,0
Male,Divorced,Nurse,Nsanje,15,Corporate,Phone,352,20,9579132,147004.34,3,4,27,1
Male,Married,Civil Servant,Nkhata Bay,15,SME,Phone,319,17,288798,73023.17,1,3,38,0
Female,Divorced,Farmer,Dowa,11,SME,Phone,661,14,9675815,173432.55,4,0,40,0
Female,Divorced,Nurse,Phalombe,20,Corporate,Email,590,18,2462569,165679.92,4,2,42,0
Male,Single,Student,Chiradzulu,15,Retail,Phone,545,6,2146264,104678.62,1,5,31,0
Female,Divorced,Teacher,Machinga,4,Retail,Email,622,18,9644139,116973.26,3,0,55,1
Female,Married,Businessperson,Lilongwe,6,Corporate,Email,816,8,9948485,0.0,2,2,36,0
Male,Married,Civil Servant,Ntchisi,16,Corporate,Email,472,11,9789443,126732.85,2,0,38,0
Female,Single,Nurse,Ntchisi,8,Retail,Phone,479,14,6204861,148481.09,2,3,44,0
Female,Single,Businessperson,Neno,16,Corporate,Phone,814,19,9047856,137654.05,2,4,38,0
Male,Divorced,Civil Servant,Kasungu,9,Corporate,Phone,387,8,7599477,115315.04,3,5,30,0
Male,Divorced,Farmer,Blantyre,19,SME,Phone,656,8,1070161,99095.73,2,0,42,0
Female,Married,Civil Servant,Salima,1,Corporate,Phone,561,20,9907317,165610.41,1,5,39,0
Male,Married,Student,Chikwawa,14,Corporate,Email,747,5,5948227,0.0,2,3,33,1
Male,Single,Student,Chitipa,11,SME,Phone,665,13,6880838,161628.66,2,3,32,0
Male,Divorced,Farmer,Likoma,12,Corporate,Email,393,11,1313041,146605.27,2,4,32,0
Male,Married,Engineer,Zomba,3,Retail,Email,605,5,5334742,113488.68,4,2,37,1
Male,Single,Banker,Zomba,12,SME,Phone,699,4,4747568,77002.2,4,4,42,0
Male,Married,Banker,Mangochi,13,Retail,Email,520,17,3368502,0.0,2,2,67,0
Female,Single,Teacher,Mzimba,19,SME,Email,553,20,2964027,0.0,1,2,39,0
Male,Married,Farmer,Chikwawa,10,Corporate,Email,487,14,256727,0.0,1,0,25,0
Male,Married,Engineer,Nkhotakota,11,SME,Phone,450,7,2476008,182364.53,3,2,46,1
Male,Married,Civil Servant,Phalombe,1,Retail,Phone,689,16,5472383,0.0,2,4,35,0
Male,Married,Nurse,Rumphi,18,Corporate,Email,664,19,7664455,149364.58,1,0,45,0
Male,Single,Student,Mulanje,13,Corporate,Phone,588,3,5238427,127450.14,2,4,59,0
Female,Single,Engineer,Phalombe,15,Retail,Phone,653,6,8957248,162278.32,4,4,63,0
Male,Married,Nurse,Nsanje,20,Retail,Phone,577,4,7877726,152212.88,2,0,37,0
Female,Married,Nurse,Mangochi,7,SME,Email,784,8,8491315,161993.89,3,5,39,0
Male,Married,Driver,Mchinji,18,SME,Email,721,16,2015110,131468.44,4,1,39,0
Male,Married,Civil Servant,Chiradzulu,5,SME,Email,603,9,8866642,102980.44,2,2,40,1
Male,Single,Student,Chikwawa,2,Corporate,Email,683,17,8048007,143321.97,1,5,31,0
Female,Married,Teacher,Chitipa,2,SME,Phone,665,15,6309135,130404.92,2,4,37,0
Female,Single,Student,Likoma,14,Retail,Email,397,3,8385852,0.0,2,5,41,0
Male,Married,Driver,Nsanje,8,Retail,Phone,680,11,4040553,87505.47,2,5,30,0
Male,Divorced,Driver,Mwanza,13,Retail,Email,527,5,2134404,133634.02,2,0,30,0
Female,Divorced,Farmer,Kasungu,8,Corporate,Email,808,5,5418569,151233.62,3,0,33,0
Male,Married,Civil Servant,Thyolo,18,Retail,Phone,627,8,9312293,70263.83,3,2,55,0
Male,Single,Farmer,Dedza,20,SME,Phone,560,15,239908,0.0,4,3,34,0
Male,Married,Nurse,Dedza,7,Corporate,Phone,849,6,823381,57657.49,1,4,30,0
Male,Divorced,Teacher,Dowa,20,Corporate,Phone,483,6,2051882,153572.31,3,1,42,0
Male,Divorced,Driver,Mwanza,11,Corporate,Email,684,2,2703768,134752.08,1,4,37,0
Male,Married,Teacher,Mangochi,6,SME,Phone,816,12,9010996,83132.09,2,4,34,0
Female,Single,Farmer,Ntchisi,19,SME,Phone,529,8,4120604,0.0,4,4,31,0
Female,Single,Businessperson,Mwanza,18,SME,Phone,613,18,2585674,134096.53,1,5,32,1
Female,Married,Businessperson,Mangochi,2,Retail,Email,659,1,3950356,118100.59,4,2,31,0
Male,Single,Businessperson,Ntcheu,4,Retail,Phone,647,15,5577163,76915.4,4,1,52,1
Female,Single,Banker,Zomba,3,SME,Phone,760,7,9442156,81576.75,3,0,46,1
Male,Married,Teacher,Ntchisi,11,Retail,Email,549,19,3782367,0.0,4,5,49,0
Male,Divorced,Civil Servant,Chiradzulu,13,SME,Email,538,17,6874497,118327.17,1,0,33,0
Male,Married,Student,Rumphi,15,Corporate,Phone,830,18,8660590,124857.69,4,2,30,0
Female,Divorced,Banker,Dedza,18,Corporate,Email,377,4,2247189,90971.85,4,2,27,0
Female,Single,Banker,Dowa,19,Retail,Email,343,16,4253690,153147.75,3,3,37,0
Male,Divorced,Student,Lilongwe,10,Corporate,Phone,811,13,4068448,65942.26,3,5,38,1
Male,Single,Civil Servant,Ntcheu,16,SME,Phone,318,3,9827140,0.0,1,4,38,0
Male,Single,Businessperson,Chitipa,1,SME,Phone,694,5,5727597,0.0,3,5,54,1
Female,Divorced,Businessperson,Mchinji,12,SME,Phone,579,19,9738311,100912.19,2,3,27,0
Female,Single,Civil Servant,Dedza,7,Corporate,Phone,602,12,9466554,0.0,1,0,31,0
Male,Divorced,Businessperson,Chitipa,11,Retail,Email,516,6,2891725,0.0,4,2,37,1
Female,Divorced,Student,Kasungu,10,SME,Email,752,14,6981083,0.0,3,1,43,1
Male,Married,Farmer,Machinga,12,Corporate,Email,595,3,9379746,124439.49,2,5,41,0
Female,Single,Driver,Blantyre,5,Corporate,Phone,489,12,2378289,0.0,1,0,47,0
Male,Divorced,Driver,Nsanje,5,SME,Phone,567,6,8664289,0.0,2,5,40,0
Female,Married,Student,Nkhotakota,5,SME,Email,746,17,5359224,58781.76,2,2,44,0
Male,Divorced,Businessperson,Mangochi,13,Corporate,Email,695,13,625332,159453.64,2,2,50,1
Male,Divorced,Civil Servant,Karonga,15,Corporate,Phone,440,3,7244960,142721.52,1,1,26,0
Female,Single,Businessperson,Salima,11,SME,Email,602,6,7782853,167795.6,2,1,46,0
Female,Divorced,Teacher,Mchinji,15,Corporate,Email,441,1,1898322,128345.69,4,1,38,0
Male,Divorced,Civil Servant,Dedza,9,Corporate,Email,681,5,9503389,165260.98,1,3,20,0
Female,Married,Farmer,Chikwawa,15,Retail,Phone,627,17,9306130,118233.81,2,3,62,1
Female,Married,Engineer,Chikwawa,16,SME,Email,489,19,520417,0.0,4,5,40,1
Female,Divorced,Nurse,Ntcheu,18,Corporate,Email,828,15,664782,0.0,4,2,46,0
Male,Married,Engineer,Mwanza,15,Corporate,Email,489,14,7098693,143452.74,4,4,37,0
Male,Divorced,Driver,Phalombe,10,Retail,Phone,405,2,3997962,145018.49,4,2,38,0
Female,Married,Businessperson,Nsanje,15,Retail,Email,568,18,2468705,82407.51,1,0,38,0
Male,Married,Engineer,Ntcheu,13,Corporate,Phone,376,8,3586289,79460.98,3,5,28,0
Female,Single,Nurse,Balaka,5,SME,Phone,443,18,524044,0.0,3,0,43,1
Male,Single,Farmer,Ntchisi,7,Retail,Email,565,13,9239582,126473.99,4,3,38,0
Female,Divorced,Driver,Nkhotakota,17,Retail,Phone,300,3,6365721,133537.1,3,2,30,0
Male,Single,Businessperson,Mulanje,4,Corporate,Email,331,9,2344632,164978.01,1,2,52,0
Male,Divorced,Driver,Chiradzulu,3,SME,Phone,792,7,1324348,128029.72,3,5,46,0
Male,Single,Farmer,Kasungu,18,Retail,Email,742,13,4435102,97403.18,1,5,43,1
Female,Divorced,Businessperson,Rumphi,1,Corporate,Phone,586,15,8725086,176845.41,2,4,41,1
Male,Divorced,Civil Servant,Mchinji,15,SME,Phone,409,7,5691044,0.0,2,1,71,0
Male,Single,Businessperson,Mangochi,16,Retail,Email,395,16,6479021,81589.04,2,3,42,0
Female,Divorced,Engineer,Chiradzulu,9,SME,Email,646,5,5629220,119507.58,1,3,40,1
Female,Single,Student,Dowa,20,Corporate,Phone,664,10,2395146,0.0,4,2,26,0
Male,Married,Farmer,Thyolo,2,Corporate,Phone,439,9,2807913,94443.77,2,1,30,0
Male,Divorced,Nurse,Mangochi,7,Corporate,Email,317,11,5845166,0.0,1,5,37,0
Male,Divorced,Civil Servant,Thyolo,20,Corporate,Email,703,8,1511977,92199.84,1,2,32,0
Male,Divorced,Banker,Chikwawa,7,Corporate,Email,577,5,4453451,0.0,3,5,43,0
Female,Divorced,Farmer,Lilongwe,16,Retail,Phone,731,4,1976030,135756.96,4,4,41,0
Female,Divorced,Engineer,Mulanje,18,SME,Phone,846,18,2087935,120633.42,4,3,54,1
Male,Divorced,Businessperson,Nkhotakota,9,Corporate,Phone,313,1,3525024,134542.73,3,1,48,1
Male,Divorced,Farmer,Likoma,20,Retail,Phone,736,14,770586,0.0,4,4,29,0
Male,Single,Teacher,Blantyre,12,SME,Email,815,12,3275029,0.0,3,5,52,1
Male,Single,Engineer,Mwanza,9,Corporate,Email,841,5,2261075,0.0,4,5,39,0
Male,Single,Businessperson,Likoma,20,Corporate,Phone,792,9,9672992,154344.49,2,3,49,0
Male,Single,Nurse,Kasungu,15,SME,Email,660,8,7246272,0.0,2,0,43,0
Male,Married,Businessperson,Chikwawa,6,Retail,Email,534,4,908482,189026.53,4,3,43,0
Male,Divorced,Businessperson,Salima,18,Retail,Phone,824,12,6082856,120764.08,1,1,37,0
Female,Single,Civil Servant,Thyolo,20,Retail,Email,414,7,7358950,97975.82,2,5,22,0
Male,Divorced,Engineer,Mchinji,7,SME,Email,842,4,742981,0.0,1,2,32,0
Male,Divorced,Engineer,Machinga,4,Retail,Phone,797,16,4073808,113270.2,4,1,41,0
Male,Married,Banker,Mchinji,8,SME,Email,536,11,8424678,0.0,2,3,30,0
Male,Married,Nurse,Likoma,5,Retail,Email,331,12,7535508,124548.99,4,2,39,0
Male,Divorced,Banker,Phalombe,1,Retail,Email,561,6,6864956,201696.07,3,2,43,1
Female,Single,Driver,Likoma,20,Corporate,Phone,837,10,3470801,0.0,4,1,37,0
Male,Divorced,Engineer,Mzimba,10,SME,Phone,344,15,4114336,114203.47,1,1,44,1
Female,Married,Teacher,Nkhotakota,8,Corporate,Email,441,16,8266862,0.0,4,1,31,0
Male,Single,Engineer,Ntcheu,1,SME,Email,476,20,1944914,125437.64,3,2,50,1
Female,Divorced,Banker,Mwanza,17,Corporate,Email,731,3,5167526,0.0,4,0,26,0
Female,Single,Banker,Kasungu,18,Corporate,Phone,623,5,7887175,64897.75,1,3,43,0
Male,Divorced,Businessperson,Nsanje,12,Retail,Phone,626,6,9913953,0.0,1,3,38,0
Female,Single,Banker,Mulanje,17,Retail,Phone,326,12,1609871,135555.66,2,0,46,1
Male,Divorced,Student,Nkhata Bay,1,Retail,Phone,609,20,1060484,107764.75,1,3,44,0
Female,Married,Farmer,Rumphi,11,SME,Email,478,3,5179873,117307.44,1,4,27,0
Male,Single,Student,Dowa,4,Corporate,Email,616,8,6253885,73700.12,1,3,41,1
Female,Divorced,Student,Likoma,20,Retail,Email,680,19,726950,60603.4,4,3,44,0
Female,Married,Civil Servant,Nsanje,9,SME,Phone,615,17,4184051,40169.88,3,0,35,0
Female,Married,Driver,Blantyre,1,Corporate,Phone,591,13,9324220,92041.87,4,5,32,0
Male,Single,Engineer,Mwanza,18,SME,Phone,476,4,3237954,130483.95,3,4,26,0
Female,Single,Driver,Chiradzulu,17,Corporate,Email,592,16,6665789,0.0,1,0,41,1
Female,Married,Driver,Lilongwe,12,Retail,Email,708,15,1247893,0.0,3,1,42,0
Female,Single,Teacher,Ntchisi,2,Retail,Phone,354,3,1167955,151097.28,1,4,23,0
Female,Divorced,Nurse,Neno,9,SME,Email,572,5,768574,67563.31,4,1,46,1
Female,Divorced,Farmer,Mwanza,8,SME,Email,529,6,7312748,112808.18,3,4,35,0
Female,Married,Farmer,Chiradzulu,4,Corporate,Email,653,10,7394460,0.0,4,3,42,0
Male,Married,Nurse,Kasungu,10,Retail,Phone,597,17,4073368,86459.8,3,0,66,0
Female,Divorced,Nurse,Ntcheu,10,SME,Email,776,8,3971402,118633.08,4,4,40,1
Female,Divorced,Businessperson,Mulanje,3,Retail,Phone,420,17,9153917,159441.27,1,2,55,1
Female,Divorced,Banker,Mangochi,12,SME,Email,353,16,9507803,0.0,4,4,27,0
Female,Divorced,Civil Servant,Salima,9,SME,Phone,478,16,9529815,125212.65,4,3,38,1
Male,Divorced,Nurse,Dowa,15,Retail,Email,412,10,2860132,88656.37,1,3,45,0
Female,Divorced,Engineer,Kasungu,6,Retail,Email,822,20,4196874,146033.62,2,5,32,0
Male,Married,Engineer,Chiradzulu,11,Corporate,Phone,830,18,643149,120268.13,1,5,29,0
Male,Divorced,Banker,Kasungu,3,Corporate,Email,487,19,1383569,0.0,3,4,46,0
Female,Divorced,Teacher,Likoma,1,Retail,Phone,457,19,3314737,0.0,2,1,33,1
Female,Single,Nurse,Mchinji,6,Corporate,Phone,755,2,4174997,135070.58,3,5,46,1
Female,Divorced,Banker,Mwanza,16,Retail,Email,785,5,4162955,0.0,2,2,38,1
Female,Single,Driver,Mulanje,2,Corporate,Email,680,15,5842915,0.0,1,1,29,0
Female,Single,Nurse,Chiradzulu,18,Retail,Email,319,16,7987045,122550.05,2,1,27,0
Female,Married,Farmer,Dowa,16,Corporate,Email,488,1,6225896,0.0,1,4,43,0
Male,Divorced,Student,Nkhata Bay,14,SME,Phone,731,15,5039103,130306.49,1,0,29,0
Female,Married,Nurse,Karonga,13,Retail,Phone,714,12,122370,0.0,3,0,27,0
Female,Married,Nurse,Machinga,19,Corporate,Email,729,12,4519794,90350.77,4,0,41,1
Female,Married,Student,Likoma,17,SME,Email,785,1,6615857,128747.69,2,2,44,1
Male,Married,Farmer,Neno,14,Retail,Phone,336,10,6811398,126873.52,1,3,23,0
Male,Single,Civil Servant,Chiradzulu,12,Retail,Phone,822,3,3913914,108424.19,1,2,69,0
Male,Single,Student,Mangochi,5,Corporate,Phone,346,6,2020591,0.0,1,1,32,0
Female,Divorced,Farmer,Chiradzulu,7,Retail,Phone,301,13,1269780,84350.07,4,4,40,0
Female,Divorced,Businessperson,Zomba,18,Retail,Phone,677,6,9540494,0.0,1,5,73,1
Female,Single,Banker,Dowa,14,SME,Phone,548,15,1639617,84958.6,3,5,30,0
Female,Married,Nurse,Kasungu,20,Retail,Email,677,10,2767759,99097.36,2,2,29,0
Male,Divorced,Student,Chikwawa,11,Retail,Phone,808,7,6470912,136622.55,2,2,30,0
Female,Married,Nurse,Salima,6,Corporate,Phone,366,5,5530627,156771.68,3,2,30,0
Male,Divorced,Teacher,Mzimba,6,SME,Email,648,9,2742583,167658.33,4,5,28,0
Female,Divorced,Engineer,Likoma,6,SME,Phone,519,12,4321942,0.0,1,1,33,0
Female,Single,Engineer,Machinga,5,Retail,Phone,675,9,7850623,109483.54,3,5,24,0
Female,Single,Banker,Karonga,4,SME,Email,527,19,8939664,134504.78,4,4,40,0
Female,Married,Student,Ntchisi,9,Retail,Phone,758,3,4705198,114427.86,3,4,44,0
Male,Single,Civil Servant,Mulanje,18,SME,Email,354,12,2461439,83888.54,3,0,45,0
Male,Married,Civil Servant,Karonga,12,Corporate,Phone,672,13,1741819,110029.77,4,4,32,0
Male,Divorced,Businessperson,Neno,20,SME,Email,754,3,505408,127523.75,1,4,41,0
Male,Divorced,Teacher,Phalombe,12,SME,Phone,401,15,6867859,139762.13,2,2,30,0
Female,Divorced,Civil Servant,Ntchisi,5,SME,Email,814,20,6937548,91611.12,4,5,42,1
Female,Married,Teacher,Mzimba,12,SME,Email,815,7,8373532,109471.79,2,4,42,0
Female,Divorced,Civil Servant,Likoma,6,SME,Email,434,9,9950508,150500.64,3,3,39,0
Female,Single,Teacher,Mangochi,11,Corporate,Phone,370,4,1266989,101609.77,1,4,59,1
Male,Married,Nurse,Chiradzulu,10,SME,Phone,471,8,8834036,0.0,1,2,57,0
Female,Single,Nurse,Kasungu,16,Corporate,Email,549,11,2066793,78892.23,1,3,26,0
Female,Married,Nurse,Likoma,9,SME,Phone,538,16,3659265,82344.84,3,1,29,0
Male,Divorced,Teacher,Thyolo,16,Retail,Email,397,13,9518361,0.0,2,2,48,0
Female,Divorced,Banker,Salima,19,Corporate,Phone,609,12,8994664,0.0,1,1,44,0
Male,Married,Farmer,Ntcheu,2,SME,Phone,779,19,7062072,127706.33,1,4,62,0
Female,Divorced,Civil Servant,Rumphi,2,Retail,Email,499,11,5283418,124349.34,3,0,41,0
Male,Single,Teacher,Rumphi,12,Corporate,Email,529,17,3482155,0.0,2,5,44,0
Male,Single,Teacher,Chikwawa,16,SME,Email,351,17,5670202,119336.29,2,4,28,0
Female,Married,Banker,Chitipa,18,SME,Phone,437,3,9956884,0.0,1,5,31,0
Male,Married,Businessperson,Balaka,10,SME,Phone,847,5,3753290,104217.3,4,0,56,1
Female,Married,Businessperson,Kasungu,8,SME,Phone,305,14,6142200,0.0,3,5,65,0
Male,Divorced,Farmer,Mwanza,13,Corporate,Phone,709,18,3814574,144757.02,1,3,39,1
Male,Divorced,Businessperson,Zomba,3,Corporate,Email,730,6,5386837,0.0,3,3,44,0
Male,Married,Student,Phalombe,1,Retail,Phone,490,14,1055704,0.0,3,3,43,0
Female,Married,Farmer,Lilongwe,13,Corporate,Phone,570,9,4131703,0.0,2,5,43,1
Female,Divorced,Civil Servant,Mwanza,4,Retail,Phone,551,1,4687650,0.0,1,3,38,0
Female,Married,Engineer,Machinga,11,Retail,Email,461,11,487220,100169.51,4,5,24,0
Male,Married,Student,Nkhata Bay,15,Corporate,Email,362,7,8231372,145731.83,1,3,33,0
Male,Divorced,Civil Servant,Kasungu,15,Corporate,Phone,425,1,9161929,110802.03,3,5,56,1
Female,Married,Teacher,Thyolo,19,Corporate,Phone,524,18,9354344,120392.99,2,1,46,1
Female,Single,Teacher,Nkhotakota,14,Retail,Phone,340,8,8048058,135067.52,4,4,26,0
Male,Single,Teacher,Balaka,7,SME,Email,364,10,6653443,136556.44,3,5,31,1
Female,Married,Farmer,Balaka,3,Retail,Email,832,9,9103487,0.0,3,0,38,0
Female,Married,Engineer,Mulanje,8,Retail,Phone,448,5,8833663,99587.43,2,0,35,1
Female,Single,Engineer,Likoma,14,SME,Phone,549,10,1437620,0.0,4,5,53,0
Female,Married,Engineer,Phalombe,18,SME,Email,622,7,5286517,70731.07,4,5,34,1
Male,Married,Student,Mzimba,15,SME,Email,380,8,2461219,109342.82,1,4,35,0
Male,Divorced,Driver,Karonga,1,SME,Email,564,13,7686458,0.0,1,5,28,0
Male,Married,Farmer,Ntchisi,12,Retail,Email,787,7,1559779,0.0,1,1,66,0
Male,Divorced,Businessperson,Mzimba,5,SME,Email,361,18,3412427,78247.31,2,2,25,0
Female,Single,Farmer,Thyolo,17,SME,Email,500,1,4535518,117561.49,4,3,55,1
Male,Single,Farmer,Mangochi,5,Corporate,Phone,758,5,8494322,88980.32,2,3,23,0
Male,Single,Banker,Nkhotakota,9,Retail,Phone,388,1,9228234,0.0,1,2,34,0
Female,Divorced,Civil Servant,Dedza,5,Retail,Email,635,5,5633850,103560.57,2,5,41,1
Male,Divorced,Driver,Karonga,19,Retail,Phone,321,19,5971319,113308.84,1,1,37,0
Female,Married,Driver,Salima,1,Retail,Email,540,13,324782,0.0,3,3,40,0
Female,Divorced,Businessperson,Thyolo,13,Retail,Email,804,4,3859343,63763.49,4,0,32,0
Female,Divorced,Farmer,Mwanza,9,Retail,Email,542,11,2021705,169988.35,1,4,29,0
Female,Single,Businessperson,Ntchisi,6,Retail,Email,745,4,6657245,180303.24,4,4,35,0
Male,Divorced,Engineer,Ntcheu,13,Corporate,Email,493,4,1597244,0.0,2,1,52,1
Female,Divorced,Driver,Kasungu,3,Retail,Phone,741,7,7946675,120656.86,1,2,49,1
Female,Married,Farmer,Chiradzulu,19,SME,Phone,322,12,3541748,61592.14,4,4,31,0
Male,Divorced,Banker,Phalombe,6,SME,Email,333,14,6534741,164701.68,1,3,48,0
Female,Married,Engineer,Zomba,11,Corporate,Phone,617,19,6766154,80780.16,1,0,26,0
Male,Single,Businessperson,Nsanje,1,Retail,Phone,543,18,3227325,0.0,4,1,36,0
Female,Divorced,Nurse,Mzimba,10,SME,Email,728,10,7394980,154221.37,4,1,30,0
Male,Married,Engineer,Likoma,6,Retail,Phone,640,15,4131299,0.0,2,3,26,0
Female,Divorced,Farmer,Ntcheu,19,Retail,Email,809,1,121241,101641.14,3,5,26,0
Male,Divorced,Driver,Zomba,3,SME,Email,375,5,8729704,0.0,2,4,37,0
Female,Divorced,Engineer,Balaka,11,SME,Email,570,20,1887982,92786.66,4,1,45,1
Male,Single,Businessperson,Chikwawa,4,Retail,Phone,476,16,9226078,131081.66,3,3,32,0
Male,Divorced,Businessperson,Dedza,9,SME,Email,481,17,5644242,98014.74,1,2,30,0
Male,Divorced,Farmer,Machinga,14,SME,Email,652,18,4317887,0.0,2,5,38,0
Male,Single,Driver,Nsanje,1,SME,Email,430,12,9685675,97460.1,2,3,26,0
Male,Married,Teacher,Lilongwe,15,Corporate,Email,813,6,6910025,104077.19,1,3,36,0
Female,Single,Banker,Kasungu,2,Corporate,Phone,441,16,716011,0.0,3,0,29,0
Female,Married,Nurse,Blantyre,3,Retail,Phone,341,5,6612099,0.0,2,1,46,1
Female,Single,Civil Servant,Balaka,20,Retail,Phone,526,9,7299543,0.0,3,0,39,0
Female,Married,Businessperson,Nkhata Bay,7,Corporate,Phone,387,18,1995167,93656.95,3,3,51,1
Male,Divorced,Businessperson,Phalombe,18,Retail,Phone,392,15,7616012,121345.88,3,0,30,1
Female,Divorced,Teacher,Ntchisi,4,Corporate,Email,644,11,6830747,141675.23,1,2,39,0
Female,Divorced,Driver,Dedza,1,SME,Email,598,8,3718693,0.0,1,0,31,0
Female,Divorced,Teacher,Zomba,6,Retail,Email,656,5,8539548,102365.49,1,5,43,1
Male,Single,Engineer,Thyolo,5,Corporate,Email,771,12,7075793,0.0,4,4,50,1
Female,Divorced,Teacher,Lilongwe,11,SME,Phone,430,4,3548624,0.0,3,3,30,0
Male,Divorced,Farmer,Mulanje,11,Retail,Email,814,14,7864202,0.0,1,4,52,0
Male,Single,Farmer,Machinga,13,SME,Phone,368,11,8610761,101868.51,1,5,57,0
Male,Divorced,Civil Servant,Karonga,18,SME,Email,398,13,1669951,0.0,4,1,38,0
Male,Married,Civil Servant,Likoma,17,Corporate,Email,510,2,4712497,112392.45,4,4,35,0
Female,Divorced,Civil Servant,Chiradzulu,8,Retail,Email,794,17,5175216,106570.34,1,4,25,0
Female,Single,Driver,Blantyre,9,SME,Email,359,13,9890038,0.0,2,4,28,0
Male,Divorced,Teacher,Lilongwe,15,Corporate,Phone,766,14,6367667,81947.76,1,3,50,1
Female,Single,Engineer,Mzimba,13,Retail,Email,749,14,5732870,144162.3,1,4,31,0
Male,Divorced,Engineer,Dedza,7,SME,Email,665,7,3788322,86350.87,2,5,39,0
